Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2212.04,243.22,9.0947
0.12,0.4,64,2212.04,314.18,7.0408
0.12,0.6,32,2212.04,262.31,8.4331
0.12,0.6,64,2212.04,312.51,7.0782
0.12,0.8,32,2212.04,239.28,9.2447
0.12,0.8,64,2212.04,313.34,7.0596
0.3,0.4,32,2212.04,189.49,11.6736
0.3,0.6,32,2212.04,202.96,10.8991
0.3,0.6,64,2212.04,290.88,7.6046
0.3,0.8,32,2212.04,193.14,11.4529
0.3,0.8,64,2212.04,23.05,95.9765
0.5,0.4,32,2212.04,171.78,12.8771
0.5,0.6,32,2212.04,179.64,12.3136
0.5,0.8,32,2212.04,185.99,11.8932
