Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2776.38,189.12,14.6806
0.12,0.4,64,2776.38,293.97,9.4444
0.12,0.4,128,2776.38,470.86,5.8964
0.12,0.6,32,2776.38,186.18,14.9122
0.12,0.6,64,2776.38,281.43,9.8653
0.12,0.6,128,2776.38,469.63,5.9118
0.12,0.8,32,2776.38,186.28,14.9047
0.12,0.8,64,2776.38,274.06,10.1304
0.12,0.8,128,2776.38,450.52,6.1626
0.3,0.4,32,2776.38,173.37,16.0145
0.3,0.4,64,2776.38,254.27,10.9189
0.3,0.4,128,2776.38,418.29,6.6374
0.3,0.6,32,2776.38,168.26,16.501
0.3,0.6,64,2776.38,254.05,10.9286
0.3,0.6,128,2776.38,403.4,6.8825
0.3,0.8,32,2776.38,166.52,16.6726
0.3,0.8,64,2776.38,22.99,120.783
0.3,0.8,128,2776.38,406.63,6.8277
0.5,0.4,32,2776.38,166.66,16.6586
0.5,0.4,64,2776.38,244.18,11.3704
0.5,0.4,128,2776.38,391.32,7.0948
0.5,0.6,32,2776.38,164.32,16.8962
0.5,0.6,64,2776.38,241.14,11.5137
0.5,0.6,128,2776.38,389.97,7.1194
0.5,0.8,32,2776.38,159.47,17.4104
0.5,0.8,64,2776.38,234.73,11.828
0.5,0.8,128,2776.38,384.4,7.2227
