Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1976.79,124.07,15.9331
0.12,0.4,64,1976.79,199.25,9.9212
0.12,0.4,128,1976.79,350.14,5.6458
0.12,0.6,32,1976.79,124.44,15.8851
0.12,0.6,64,1976.79,206.11,9.5908
0.12,0.6,128,1976.79,353.41,5.5935
0.12,0.8,32,1976.79,122.54,16.1318
0.12,0.8,64,1976.79,191.86,10.3034
0.12,0.8,128,1976.79,347.14,5.6945
0.3,0.4,32,1976.79,110.06,17.961
0.3,0.4,64,1976.79,173.97,11.3627
0.3,0.4,128,1976.79,298.06,6.6322
0.3,0.6,32,1976.79,102.14,19.3543
0.3,0.6,64,1976.79,170.43,11.5991
0.3,0.6,128,1976.79,289.38,6.8311
0.3,0.8,32,1976.79,103.58,19.0847
0.3,0.8,64,1976.79,175.33,11.2748
0.3,0.8,128,1976.79,283.56,6.9714
0.5,0.4,32,1976.79,98.41,20.088
0.5,0.4,64,1976.79,161.38,12.2491
0.5,0.4,128,1976.79,277.89,7.1136
0.5,0.6,32,1976.79,102.63,19.2612
0.5,0.6,64,1976.79,155.82,12.6865
0.5,0.6,128,1976.79,260.02,7.6025
0.5,0.8,32,1976.79,97.85,20.2019
0.5,0.8,64,1976.79,146.89,13.4572
0.5,0.8,128,1976.79,262.46,7.5318
