Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1441.9,115.63,12.4698
0.12,0.4,64,1441.9,198.23,7.2738
0.12,0.4,128,1441.9,376.48,3.83
0.12,0.4,256,1441.9,863.63,1.6696
0.12,0.4,512,1441.9,1725.35,0.8357
0.12,0.6,32,1441.9,119.77,12.0389
0.12,0.6,64,1441.9,189.12,7.6241
0.12,0.6,128,1441.9,335.9,4.2926
0.12,0.6,256,1441.9,992.29,1.4531
0.12,0.6,512,1441.9,1511.93,0.9537
0.12,0.8,32,1441.9,111.71,12.9075
0.12,0.8,64,1441.9,176.56,8.1667
0.12,0.8,128,1441.9,319.47,4.5134
0.12,0.8,256,1441.9,795.5,1.8126
0.12,0.8,512,1441.9,1563.39,0.9223
0.3,0.4,32,1441.9,103.17,13.9765
0.3,0.4,64,1441.9,163.47,8.8208
0.3,0.4,128,1441.9,304.37,4.7373
0.3,0.4,256,1441.9,695.66,2.0727
0.3,0.4,512,1441.9,1348.54,1.0692
0.3,0.6,32,1441.9,101.72,14.1757
0.3,0.6,64,1441.9,158.37,9.1044
0.3,0.6,128,1441.9,281.71,5.1183
0.3,0.6,256,1441.9,707.23,2.0388
0.3,0.6,512,1441.9,1296.31,1.1123
0.3,0.8,32,1441.9,98.02,14.7108
0.3,0.8,64,1441.9,157.69,9.144
0.3,0.8,128,1441.9,335.64,4.296
0.3,0.8,256,1441.9,650.48,2.2167
0.3,0.8,512,1441.9,1297.25,1.1115
0.5,0.4,32,1441.9,96.71,14.91
0.5,0.4,64,1441.9,153.68,9.3826
0.5,0.4,128,1441.9,267.88,5.3826
0.5,0.4,256,1441.9,632.58,2.2794
0.5,0.4,512,1441.9,1251.34,1.1523
0.5,0.6,32,1441.9,94.22,15.3029
0.5,0.6,64,1441.9,153.79,9.3757
0.5,0.6,128,1441.9,263.18,5.4787
0.5,0.6,256,1441.9,592.81,2.4323
0.5,0.6,512,1441.9,1240.71,1.1622
0.5,0.8,32,1441.9,92.45,15.5969
0.5,0.8,64,1441.9,146.48,9.8435
0.5,0.8,128,1441.9,255.88,5.6351
0.5,0.8,256,1441.9,591.92,2.436
0.5,0.8,512,1441.9,1212.54,1.1892
