Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1773.88,129.28,13.7208
0.12,0.4,64,1773.88,200.04,8.8675
0.12,0.4,128,1773.88,338.07,5.247
0.12,0.6,32,1773.88,119.75,14.8131
0.12,0.6,64,1773.88,192.1,9.2342
0.12,0.6,128,1773.88,332.81,5.3299
0.12,0.8,32,1773.88,117.53,15.0935
0.12,0.8,64,1773.88,190.34,9.3197
0.12,0.8,128,1773.88,329.42,5.3848
0.3,0.4,32,1773.88,106.26,16.6945
0.3,0.4,64,1773.88,166.45,10.6572
0.3,0.4,128,1773.88,298.25,5.9476
0.3,0.6,32,1773.88,104.06,17.046
0.3,0.6,64,1773.88,160.26,11.069
0.3,0.6,128,1773.88,277.86,6.3842
0.3,0.8,32,1773.88,126.27,14.0485
0.3,0.8,64,1773.88,16.72,106.1168
0.3,0.8,128,1773.88,275.98,6.4277
0.5,0.4,32,1773.88,99.06,17.9064
0.5,0.4,64,1773.88,157.11,11.2906
0.5,0.4,128,1773.88,280.98,6.3131
0.5,0.6,32,1773.88,101.17,17.5342
0.5,0.6,64,1773.88,152.46,11.6351
0.5,0.6,128,1773.88,276.18,6.4229
0.5,0.8,32,1773.88,99.82,17.7715
0.5,0.8,64,1773.88,145.56,12.1864
0.5,0.8,128,1773.88,269.12,6.5913
