Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,953.04,82.89,11.4975
0.12,0.4,64,953.04,129.37,7.3667
0.12,0.4,128,953.04,232.66,4.0963
0.12,0.6,32,953.04,85.07,11.203
0.12,0.6,64,953.04,127.04,7.5018
0.12,0.6,128,953.04,259.59,3.6713
0.12,0.8,32,953.04,86.77,10.9839
0.12,0.8,64,953.04,146.27,6.5155
0.12,0.8,128,953.04,234.24,4.0686
0.3,0.4,32,953.04,66.66,14.2979
0.3,0.4,64,953.04,109.42,8.7102
0.3,0.4,128,953.04,186.25,5.1169
0.3,0.6,32,953.04,69.25,13.7631
0.3,0.6,64,953.04,115.58,8.2458
0.3,0.6,128,953.04,183.18,5.2028
0.3,0.8,32,953.04,67.69,14.0787
0.3,0.8,64,953.04,12.29,77.5666
0.3,0.8,128,953.04,182.4,5.2251
0.5,0.4,32,953.04,61.17,15.581
0.5,0.4,64,953.04,97.51,9.7742
0.5,0.4,128,953.04,170.08,5.6036
0.5,0.6,32,953.04,60.77,15.6826
0.5,0.6,64,953.04,96.05,9.9227
0.5,0.6,128,953.04,168.96,5.6405
0.5,0.8,32,953.04,59.89,15.9121
0.5,0.8,64,953.04,97.35,9.79
0.5,0.8,128,953.04,172.6,5.5216
