Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,3017.39,446.07,6.7644
0.12,0.4,64,3017.39,634.55,4.7552
0.12,0.4,128,3017.39,1010.51,2.986
0.12,0.6,32,3017.39,425.03,7.0992
0.12,0.6,64,3017.39,611.15,4.9372
0.12,0.6,128,3017.39,951.01,3.1728
0.12,0.8,32,3017.39,396.74,7.6055
0.12,0.8,64,3017.39,576.26,5.2362
0.12,0.8,128,3017.39,914.16,3.3007
0.3,0.4,32,3017.39,393.37,7.6705
0.3,0.4,64,3017.39,582.73,5.1781
0.3,0.4,128,3017.39,896.06,3.3674
0.3,0.6,32,3017.39,381.61,7.907
0.3,0.6,64,3017.39,548.01,5.5061
0.3,0.6,128,3017.39,829.52,3.6375
0.3,0.8,32,3017.39,359.28,8.3983
0.3,0.8,64,3017.39,505.53,5.9688
0.3,0.8,128,3017.39,802.27,3.7611
0.5,0.4,32,3017.39,389.88,7.7393
0.5,0.4,64,3017.39,548.81,5.4981
0.5,0.4,128,3017.39,846.41,3.5649
0.5,0.6,32,3017.39,355.79,8.4808
0.5,0.6,64,3017.39,525.51,5.7418
0.5,0.6,128,3017.39,800.04,3.7716
0.5,0.8,32,3017.39,343.74,8.7781
0.5,0.8,64,3017.39,494.71,6.0993
0.5,0.8,128,3017.39,772.49,3.9061
