Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,3793.31,401.46,9.4487
0.12,0.4,64,3793.31,590.74,6.4213
0.12,0.4,128,3793.31,969.01,3.9146
0.12,0.6,32,3793.31,379.1,10.0062
0.12,0.6,64,3793.31,562.48,6.7439
0.12,0.6,128,3793.31,938.38,4.0424
0.12,0.8,32,3793.31,361.88,10.4823
0.12,0.8,64,3793.31,537.88,7.0523
0.12,0.8,128,3793.31,855.04,4.4364
0.3,0.4,32,3793.31,357.77,10.6025
0.3,0.4,64,3793.31,603.28,6.2878
0.3,0.4,128,3793.31,828.83,4.5767
0.3,0.6,32,3793.31,340.21,11.1499
0.3,0.6,64,3793.31,520.57,7.2869
0.3,0.6,128,3793.31,786.72,4.8217
0.3,0.8,32,3793.31,322.75,11.7533
0.3,0.8,64,3793.31,452.33,8.3862
0.3,0.8,128,3793.31,812.97,4.666
0.5,0.4,32,3793.31,339.25,11.1816
0.5,0.4,64,3793.31,497.54,7.6242
0.5,0.4,128,3793.31,745.9,5.0856
0.5,0.6,32,3793.31,316.68,11.9785
0.5,0.6,64,3793.31,486.07,7.804
0.5,0.6,128,3793.31,702.37,5.4008
0.5,0.8,32,3793.31,308.57,12.2932
0.5,0.8,64,3793.31,479.73,7.9072
0.5,0.8,128,3793.31,696.04,5.4498
