Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2057.27,245.62,8.3758
0.12,0.4,64,2057.27,385.28,5.3397
0.12,0.4,128,2057.27,556.69,3.6955
0.12,0.6,32,2057.27,229.36,8.9696
0.12,0.6,64,2057.27,342.36,6.009
0.12,0.6,128,2057.27,539.88,3.8106
0.12,0.8,32,2057.27,245.66,8.3746
0.12,0.8,64,2057.27,319.31,6.4429
0.12,0.8,128,2057.27,538.31,3.8217
0.3,0.4,32,2057.27,217.91,9.4409
0.3,0.4,64,2057.27,306.39,6.7144
0.3,0.4,128,2057.27,477.94,4.3045
0.3,0.6,32,2057.27,191.53,10.7412
0.3,0.6,64,2057.27,291.61,7.0548
0.3,0.6,128,2057.27,471.91,4.3595
0.3,0.8,32,2057.27,187.36,10.9805
0.3,0.8,64,2057.27,280.62,7.3313
0.3,0.8,128,2057.27,472.01,4.3585
0.5,0.4,32,2057.27,194.03,10.6026
0.5,0.4,64,2057.27,294.39,6.9882
0.5,0.4,128,2057.27,496.94,4.1399
0.5,0.6,32,2057.27,180.29,11.4111
0.5,0.6,64,2057.27,273.41,7.5245
0.5,0.6,128,2057.27,429.36,4.7914
0.5,0.8,32,2057.27,172.16,11.9498
0.5,0.8,64,2057.27,261.83,7.8573
0.5,0.8,128,2057.27,499.99,4.1146
