Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,4554.59,125.32,36.3446
0.12,0.4,64,4554.59,194.23,23.4491
0.12,0.4,128,4554.59,306.82,14.8446
0.12,0.4,256,4554.59,685.7,6.6423
0.12,0.4,512,4554.59,1436.82,3.1699
0.12,0.6,32,4554.59,117.92,38.6246
0.12,0.6,64,4554.59,175.37,25.9713
0.12,0.6,128,4554.59,298.83,15.2416
0.12,0.6,256,4554.59,643.5,7.0779
0.12,0.6,512,4554.59,1406.82,3.2375
0.12,0.8,32,4554.59,113.81,40.0197
0.12,0.8,64,4554.59,169.07,26.9396
0.12,0.8,128,4554.59,281.5,16.1794
0.12,0.8,256,4554.59,628.57,7.246
0.12,0.8,512,4554.59,1343.05,3.3912
0.3,0.4,32,4554.59,111.95,40.6836
0.3,0.4,64,4554.59,171.92,26.4928
0.3,0.4,128,4554.59,272.78,16.6971
0.3,0.4,256,4554.59,604.16,7.5387
0.3,0.4,512,4554.59,1281.78,3.5533
0.3,0.6,32,4554.59,112.5,40.4838
0.3,0.6,64,4554.59,163.62,27.8359
0.3,0.6,128,4554.59,264.02,17.2509
0.3,0.6,256,4554.59,591.28,7.703
0.3,0.6,512,4554.59,1239.16,3.6755
0.3,0.8,32,4554.59,109.75,41.498
0.3,0.8,64,4554.59,19.43,234.37
0.3,0.8,128,4554.59,262.23,17.3689
0.3,0.8,256,4554.59,562.71,8.0941
0.3,0.8,512,4554.59,1239.14,3.6756
0.5,0.4,32,4554.59,109.15,41.7293
0.5,0.4,64,4554.59,159.9,28.4847
0.5,0.4,128,4554.59,265.61,17.1476
0.5,0.4,256,4554.59,574.38,7.9296
0.5,0.4,512,4554.59,1269.04,3.589
0.5,0.6,32,4554.59,109.57,41.5676
0.5,0.6,64,4554.59,158.81,28.6802
0.5,0.6,128,4554.59,254.31,17.9092
0.5,0.6,256,4554.59,565.97,8.0474
0.5,0.6,512,4554.59,1280.6,3.5566
0.5,0.8,32,4554.59,104.77,43.4715
0.5,0.8,64,4554.59,154.03,29.5691
0.5,0.8,128,4554.59,252.73,18.0214
0.5,0.8,256,4554.59,563.92,8.0766
0.5,0.8,512,4554.59,1208.72,3.7681
