Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,54001.72,3792.46,14.2392
0.12,0.4,64,54001.72,4893.92,11.0345
0.12,0.4,128,54001.72,6831.72,7.9046
0.12,0.6,32,54001.72,3587.58,15.0524
0.12,0.6,64,54001.72,4597.1,11.7469
0.12,0.6,128,54001.72,6423.18,8.4073
0.12,0.8,32,54001.72,3401.45,15.8761
0.12,0.8,64,54001.72,4341.21,12.4393
0.12,0.8,128,54001.72,6135.02,8.8022
0.3,0.4,32,54001.72,3287.39,16.4269
0.3,0.4,64,54001.72,4308.64,12.5334
0.3,0.4,128,54001.72,5888.33,9.171
0.3,0.6,32,54001.72,3126.02,17.2749
0.3,0.6,64,54001.72,3988.09,13.5407
0.3,0.6,128,54001.72,5593.48,9.6544
0.3,0.8,32,54001.72,2968.88,18.1892
0.3,0.8,64,54001.72,3825.91,14.1147
0.3,0.8,128,54001.72,5374.73,10.0473
0.5,0.4,32,54001.72,3070.29,17.5885
0.5,0.4,64,54001.72,3956.38,13.6493
0.5,0.4,128,54001.72,5464.85,9.8816
0.5,0.6,32,54001.72,2920.14,18.4928
0.5,0.6,64,54001.72,3774.33,14.3076
0.5,0.6,128,54001.72,5257.86,10.2707
0.5,0.8,32,54001.72,2826.83,19.1033
0.5,0.8,64,54001.72,3607.99,14.9673
0.5,0.8,128,54001.72,5037.66,10.7196
